theme_id	theme_name	theme_desc
1	Italian Cuisine	Classic dishes from Italy, rich in flavors like pasta, pizza, and risotto.
2	Asian Fusion	Fusion of Asian flavors with creative twists and combinations.
3	Mediterranean Delights	Fresh and light dishes inspired by the Mediterranean region, featuring olive oil, herbs, and seafood.
4	Vegan/Vegetarian Feast	Plant-based dishes bursting with flavors and nutrients, perfect for vegans and vegetarians.
5	Tex-Mex Fiesta	Bold and spicy Texan and Mexican fusion dishes, showcasing the best of both cuisines.
6	Comfort Food Classics	Heartwarming and nostalgic dishes that bring comfort and satisfaction with every bite.
7	Seafood Extravaganza	A feast of ocean delights, featuring fresh seafood prepared in a variety of delicious ways.
8	Farm-to-Table Freshness	Locally sourced ingredients crafted into wholesome and flavorful dishes.
9	Middle Eastern Flavors	Exotic and aromatic dishes from the Middle East, featuring spices like cumin, coriander, and saffron.
10	BBQ Bonanza	Smoky and savory barbecue dishes, grilled to perfection and served with classic sides.
11	Gourmet Burgers and Fries	Elevated versions of the classic burger and fries, with gourmet ingredients and creative toppings.
12	Sushi Spectacular	Artfully crafted sushi and sashimi, showcasing the delicate flavors of fresh fish and seafood.
13	Southern Soul Food	Hearty and comforting Southern cuisine, featuring fried chicken, collard greens, and cornbread.
14	French Bistro Elegance	Sophisticated and refined French dishes served in a cozy bistro setting.
15	Indian Spice Adventure	A culinary journey through the vibrant flavors of India, featuring aromatic spices and bold curries.
16	Healthy Bowl Creations	Nutrient-packed bowls filled with grains, greens, proteins, and flavorful dressings.
17	Sweet Treats and Dessert Delights	Indulgent desserts and sweet treats to satisfy any sweet tooth.
18	Tapas and Small Plates	Bite-sized delights inspired by Spanish cuisine, perfect for sharing and sampling.
19	Street Food Festival	A global array of street food favorites, offering bold flavors and unique culinary experiences.
20	Brunch Bliss	Leisurely brunch options featuring a mix of breakfast and lunch dishes, perfect for lazy weekends.
